delivery_date,weight,vehicle_size,billed_miles,total,pickup_state,deliver_state,duration_hours,rpm,predicted_cost,predicted_rpm,error,label
2022-12-22,4400,DOCK HIGH STRAIGHT,1316.0,3550.0,SC,TX,43,2.697568389057751,3487.5084039974454,2.650082373858241,-0.05,-1
2022-12-21,42000,TRACTOR,1174.0,5000.0,GA,TX,32,4.258943781942079,4524.046867240684,3.85353225488985,-0.41,-5
2022-12-22,1715,DOCK HIGH STRAIGHT,1824.0,3000.0,TX,PA,46,1.644736842105263,4651.977923768555,2.550426493294164,0.91,10
2022-12-22,25000,TRACTOR,1217.0,6200.0,IN,TX,40,5.094494658997535,4705.389955368631,3.866384515504216,-1.23,-13
2022-12-22,210,CARGO VAN,1485.0,2145.42,TX,KY,49,1.4447272727272729,1898.084323582492,1.2781712616717114,-0.17,-2
2022-12-22,516,CARGO VAN,1461.0,1987.89,TX,IL,37,1.3606365503080082,1957.2628495846243,1.3396734083399209,-0.02,-1
2022-12-21,80,CARGO VAN,491.0,847.0,TN,OH,21,1.725050916496945,848.3348976213556,1.7277696489233312,0.0,1
2022-12-22,1500,SPRINTER,1240.0,2300.0,KY,TX,25,1.85483870967742,1985.140040492137,1.6009193874936587,-0.25,-3
2022-12-22,333,SPRINTER,1731.0,2734.4,TX,MI,39,1.5796649335644135,2235.063592433663,1.2911979159062177,-0.29,-3
2022-12-27,4500,TRACTOR,1628.0,9965.5,PU,MO,114,6.121314496314496,7460.475259027911,4.582601510459405,-1.54,-16
2022-12-26,8900,DOCK HIGH STRAIGHT,1060.0,4200.0,CU,AL,90,3.962264150943396,5911.563378899249,5.576946583867216,1.61,17
2022-12-27,6984,DOCK HIGH STRAIGHT,2231.0,6034.5,JA,MI,109,2.7048408785298075,6280.190499348879,2.8149666066108825,0.11,2
2022-12-26,246,CARGO VAN,1617.0,5145.05,TX,MI,69,3.181849103277675,1835.8366915707948,1.1353349978792793,-2.05,-21
2022-12-27,6700,DOCK HIGH STRAIGHT,1624.0,3951.05,TX,MI,110,2.4329125615763547,3485.915674829006,2.146499799771556,-0.29,-3
2022-12-30,600,SPRINTER,2159.0,2400.0,MA,TX,67,1.11162575266327,2711.314874799502,1.2558197660025483,0.14,2
2023-01-06,1550,CUBE VAN,2298.0,3900.0,EM,MI,89,1.6971279373368149,4225.309918593113,1.8386901299360807,0.14,2
2022-12-28,42000,TRACTOR,1504.0,7900.0,TX,MI,29,5.252659574468085,6954.572748989276,4.624051029913082,-0.63,-7
2022-12-29,42000,TRACTOR,1504.0,7900.0,TX,MI,44,5.252659574468085,6844.837996162707,4.551089093193289,-0.7,-8
2022-12-27,472,CARGO VAN,1642.0,3257.42,TX,MI,24,1.9838124238733248,1894.60430927646,1.153839408816358,-0.83,-9
2022-12-29,4200,DOCK HIGH STRAIGHT,1592.0,8672.75,CU,OH,46,5.447707286432161,5128.99598678925,3.2217311474806847,-2.23,-23
2022-12-30,1600,SPRINTER,1883.0,4764.58,JA,KY,66,2.530313329792884,3912.449263816285,2.077774436439875,-0.45,-5
2023-01-05,604,SPRINTER,1349.0,1600.0,TX,IL,38,1.1860637509266123,1909.450210295373,1.4154560491440866,0.23,3
2022-12-27,30000,TRACTOR,373.0,3186.5,MI,KY,7,8.54289544235925,2200.820733809821,5.900323683136249,-2.64,-27
2022-12-29,600,CUBE VAN,786.0,2307.93,TX,TX,22,2.936297709923664,1905.4029350339647,2.4241767621297265,-0.51,-6
2022-12-29,100,CARGO VAN,1649.0,1898.0,MI,TX,49,1.1510006064281382,1594.3494654603278,0.966858378083886,-0.18,-2
2022-12-28,5377,DOCK HIGH STRAIGHT,753.0,1900.0,TX,PU,23,2.523240371845949,2094.1153345406847,2.781029660744601,0.26,3
